Mean_Latency_us,StdDev_us,CV,Usleep_Val
1842.84,84.82,0.0460,500
1844.10,83.59,0.0453,500
1842.96,82.69,0.0449,500
1852.15,84.52,0.0456,500
1855.24,81.96,0.0442,500
1842.16,83.93,0.0456,500
1844.53,85.55,0.0464,500
1854.07,84.30,0.0455,500
1857.48,86.59,0.0466,500
1846.05,84.48,0.0458,500
1840.97,83.86,0.0456,500
1840.69,84.03,0.0457,500
1845.41,85.12,0.0461,500
1850.95,84.88,0.0459,500
1852.41,83.36,0.0450,500
1843.45,82.94,0.0450,500
1840.87,82.59,0.0449,500
1855.39,92.57,0.0499,500
1855.85,85.53,0.0461,500
1846.25,80.66,0.0437,500
1826.68,168.64,0.0923,500
1839.49,81.76,0.0444,500
1840.74,82.69,0.0449,500
1843.53,87.23,0.0473,500
1848.13,83.10,0.0450,500
1845.63,85.60,0.0464,500
1846.05,87.00,0.0471,500
1838.89,82.44,0.0448,500
1843.80,82.88,0.0450,500
1844.07,81.69,0.0443,500
1846.42,82.36,0.0446,500
1853.39,83.97,0.0453,500
1854.15,80.34,0.0433,500
